,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07792329788208008,0.11346223673349594,0.0059844970703125,7.893059424041199e-07,6.951927961775606e-06,{'ridge__alpha': 6.951927961775606e-06},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,6,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
1,0.02074465751647949,0.0013234340791667251,0.006382465362548828,0.0018501725388153027,0.07847599703514607,{'ridge__alpha': 0.07847599703514607},0.06877757849460811,-0.00933098677700899,0.05309178043543718,0.029691019957256835,0.0811369260781853,0.04467326363769569,0.032007545319574816,3,0.08057304492409234,0.09582658034090083,0.08703631655708931,0.09563974659646299,0.0908684744886448,0.08998883258143804,0.005729926807132743
2,0.02074465751647949,0.002221467587592707,0.005584859848022461,0.0004886361086223201,2.3357214690901212e-07,{'ridge__alpha': 2.3357214690901212e-07},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,6,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
3,0.02074441909790039,0.00039892310649171814,0.005585002899169922,0.00048816899875717053,0.03359818286283781,{'ridge__alpha': 0.03359818286283781},0.06877134650376512,-0.009329647999170663,0.05309344920520575,0.0296887421829987,0.08112598048984722,0.04466997407652923,0.032003962201870545,5,0.08057354568403506,0.0958251874297543,0.08703631409611003,0.09563944165756938,0.09086811294683708,0.08998852036286116,0.005729407422882552
4,0.019547510147094726,0.000488460901671617,0.0057848930358886715,0.00039942294087020783,0.4281332398719387,{'ridge__alpha': 0.4281332398719387},0.06878494002910372,-0.009337031152694747,0.05310738587030216,0.02971386445054907,0.0811363478235184,0.044681101404155724,0.03200924592930389,1,0.08057540684318933,0.09582315754828588,0.08704180736518675,0.09564088743660337,0.090870858020777,0.08999042344280847,0.00572818592367196
5,0.01855015754699707,0.0004886166437687896,0.005185890197753906,0.00039896966451610907,0.18329807108324336,{'ridge__alpha': 0.18329807108324336},0.0687777270003473,-0.009338549934276042,0.053102920317402366,0.029690962206641792,0.0811358288193297,0.04467377768188903,0.032010461682228916,2,0.08057521772372206,0.09582432422563061,0.08703871335170177,0.09564226489413742,0.09086922799469489,0.08998994963797735,0.005729026054180462
6,0.01815176010131836,0.0003988744680993653,0.004986572265625,4.370284743266907e-07,1.2742749857031322e-06,{'ridge__alpha': 1.2742749857031322e-06},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,6,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
7,0.020345640182495118,0.004305945369247881,0.004986429214477539,3.2340669551493016e-07,0.006158482110660254,{'ridge__alpha': 0.006158482110660254},0.06876991394840225,-0.009329115488097716,0.05309263469555691,0.02969122920948536,0.08112598048984722,0.0446701285710388,0.03200329104582949,4,0.08057389562184718,0.09582497188360994,0.08703585972901823,0.09563897712996461,0.09086891436001857,0.0899885237448917,0.005729228315469508
8,0.018151378631591795,0.00039882685566898014,0.0047872066497802734,0.000398993787745448,5.455594781168515e-07,{'ridge__alpha': 5.455594781168515e-07},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,6,0.08057411421432596,0.0958253403968517,0.0870351443692126,0.09563924169706281,0.0908692629758072,0.08998862073065206,0.005729368204179629
9,0.018550586700439454,0.0004885776791587868,0.004986619949340821,2.86102294921875e-07,0.0004832930238571752,{'ridge__alpha': 0.0004832930238571752},0.06876808237761893,-0.009329115488097716,0.05309165968400674,0.029691284710076433,0.08112598048984722,0.04466957835469032,0.03200295868801019,6,0.08057411421432596,0.0958252964743296,0.0870351443692126,0.09563913275766943,0.09086937935685457,0.08998861343447843,0.0057293413447829025
