,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_t__rsiadx__kw_args,param_svc__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,1.4746762752532958,0.7682734931919835,0.009379196166992187,0.00765808775163244,{'timeperiod': 5},0.005179474679231213,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.005179474679231213}",0.43485537937236285,0.4571953297236771,0.416198291855538,0.35086974364022905,0.38146633667107305,0.408117016252576,0.03788518674778463,2,0.49673063524014643,0.4769692316257658,0.4792987703184781,0.46419980913002856,0.45781821308945964,0.4750033318807757,0.013464291114998382
1,1.3814610958099365,0.6995505929667227,0.0062410831451416016,0.007643743507154703,{'timeperiod': 10},0.7196856730011522,"{'t__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 0.7196856730011522}",0.35243886723210394,0.21281992117119664,0.17935387713383263,0.3591045411321909,0.20146833645330164,0.26103710862452517,0.07812424577026303,9,0.37217068664625236,0.20424872633617255,0.16956109760506652,0.41201418326407785,0.219373460757229,0.2754736309217597,0.09739745772760797
2,0.10732460021972656,0.056668215430804955,0.006248617172241211,0.007652961835363219,{'timeperiod': 15},0.00019306977288832537,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 0.00019306977288832537}",0.38611963870280475,0.40595317058246366,0.40010791198822543,0.30253365055778686,0.31439698634567326,0.3618222716353908,0.044199517688786626,6,0.44441791912069006,0.4579877401585583,0.4556820756086,0.45610101201770537,0.4515130848640347,0.45314036635391763,0.004846686956417028
3,0.12184586524963378,0.05536196620318012,0.0,0.0,{'timeperiod': 5},0.00019306977288832537,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.00019306977288832537}",0.39553873343668927,0.40641908735831384,0.39558312403107326,0.30716744204647,0.3197314538970146,0.3648879681539122,0.04237278792590037,5,0.4515457437122851,0.46257898284736415,0.4550746127437086,0.45645088241610443,0.4496517497192268,0.45506039428773787,0.004473679426704077
4,1.4254920482635498,0.7576670447606482,0.003123950958251953,0.006247901916503906,{'timeperiod': 10},0.03727593720314946,"{'t__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 0.03727593720314946}",0.4169236108052999,0.43103877906624244,0.41574912825959104,0.3576289656001164,0.38724329156519915,0.40171675505928983,0.026234143310152034,4,0.49143814152704174,0.4739548444839716,0.476463238844049,0.4643864576711307,0.4399156833789699,0.4692316731810326,0.017033111852563926
5,0.8912330150604248,0.40778599883670247,0.009997844696044922,0.00824470501735221,{'timeperiod': 10},0.0019306977288832535,"{'t__rsiadx__kw_args': {'timeperiod': 10}, 'svc__C': 0.0019306977288832535}",0.4366161892117318,0.4547203867489958,0.4140798877897384,0.3579662958276115,0.38140366167118217,0.40895728424985195,0.03534063004121217,1,0.49200496220598716,0.4757113490581335,0.47686165843674583,0.4626659618135997,0.4561323568435378,0.4726752576716008,0.012443752255976383
6,1.3694453239440918,0.6872240859617238,0.0031237125396728514,0.006247425079345702,{'timeperiod': 15},26.826957952797258,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 26.826957952797258}",0.39715187675343633,0.16082382832859707,0.16914438502673793,0.3492083774515977,0.18886221459247934,0.2530381364305697,0.09967715334517875,10,0.4395427595403634,0.17159656863547168,0.1841193705723794,0.42833698746155474,0.1668789152417033,0.27809492029029453,0.12742086656066695
7,1.3995307445526124,0.7048646246053193,0.012749528884887696,0.006393360443237044,{'timeperiod': 5},0.03727593720314946,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 0.03727593720314946}",0.4427979588911886,0.4513928827123786,0.38564313638183556,0.3518622654529399,0.37901908647637955,0.40214306598294447,0.03850581715082369,3,0.4960208952480998,0.46863531448526735,0.43073510770007184,0.46406505435444506,0.4508367333726766,0.46205862103211215,0.021483984693157734
8,1.4217679500579834,0.760991587422474,0.0031243324279785155,0.006248664855957032,{'timeperiod': 5},37.27593720314942,"{'t__rsiadx__kw_args': {'timeperiod': 5}, 'svc__C': 37.27593720314942}",0.3817570797713173,0.15550722532637884,0.2949316657556329,0.37281982014560383,0.32691208103073177,0.30638557440593295,0.0817449430198618,7,0.4097039087512424,0.16985268494778502,0.2896030021888476,0.3663378352188928,0.33321673341806,0.3137428329049656,0.08202572919921279
9,1.4083260536193847,0.7180096909528361,0.009367227554321289,0.0076483159186872055,{'timeperiod': 15},19.306977288832506,"{'t__rsiadx__kw_args': {'timeperiod': 15}, 'svc__C': 19.306977288832506}",0.2904013355670416,0.15861203046668226,0.3802786438932321,0.22088628108651398,0.33623545173106534,0.27728274854890705,0.07939644056001859,8,0.31211845742901057,0.17128097572506507,0.41924750279785056,0.16631828817558827,0.3940140045410922,0.2925958457337213,0.10711744654204254
